block_number,price0,price1
16004516,16576.59596352793,1208.6952622455742
16004566,16581.76019003476,1208.9170160848491
16004616,16576.17861948811,1208.0260576367134
16004666,16593.979713140943,1208.1462375279382
16004716,16599.98627460822,1208.484969920766
16004766,16590.507438708257,1208.1028445473767
16004816,16586.55273628188,1208.19070504459
16004866,16581.28752331984,1208.0335399014539
16004916,16594.92416240919,1208.8844489796218
16004966,16600.663633988013,1208.6712749833912
16005016,16595.067203804316,1208.8727332911067
16005066,16600.851535239308,1209.6595885538152
16005116,16601.561887649612,1210.6829882325721
16005166,16587.525994997,1210.9270487138424
16005216,16584.35891714315,1209.9102606377098
16005266,16584.404782390015,1209.446724130449
16005316,16585.020579989978,1209.2697768340524
16005366,16585.515919714202,1209.7742143910934
16005416,16585.848347767922,1209.5356803090056
16005466,16590.52166298696,1209.7560361473807
16005516,16590.378150653745,1209.5822754884514
16005566,16579.89780041466,1209.4400511055778
16005616,16582.127062850126,1208.887733987833
16005666,16583.499334925535,1209.235655647995
16005716,16568.349712214564,1210.090857610936
16005766,16565.320850467608,1210.2144207487124
16005816,16557.85305887043,1208.5684509471612
16005866,16551.223776054554,1208.061687521417
16005916,16547.129485378176,1208.124815591208
16005966,16551.032270615226,1208.4496910415103
16006016,16556.049533309575,1208.4895960384222
16006066,16560.28606785413,1208.396097085924
16006116,16554.53635853281,1208.3297942747483
16006166,16552.069727468774,1208.8860776930078
16006216,16552.069727468774,1208.8860776930078
16006266,16559.444791301143,1209.3333376522028
16006316,16560.62039849409,1209.1182246919202
16006366,16560.62039849409,1209.1182246919202
16006416,16560.462872663404,1210.0411953288256
16006466,16558.975042574784,1209.8598454514179
16006516,16558.975042574784,1209.8598454514179
16006566,16558.975042574784,1209.8598454514179
16006616,16556.64335090436,1210.210991074089
16006666,16547.787666901986,1209.7563348566669
16006716,16542.027392788823,1209.2520696090214
16006766,16554.250263632188,1209.949743923899
16006816,16559.517033612603,1210.095004549544
16006866,16562.95332801809,1209.4635627192915
16006916,16568.707853746335,1209.9469235487406
16006966,16585.38028254211,1213.729336226972
16007016,16618.735344430403,1217.7879502425512
16007066,16666.876178028906,1222.5346938023754
16007116,16710.607262180292,1225.500535764868
16007166,16744.07712911158,1226.1161820969035
16007216,16745.877812939067,1225.9674164129804
16007266,16740.851900060832,1226.2400006562027
16007316,16738.470544983305,1225.746015962065
16007366,16732.561513228007,1224.683913518194
16007416,16711.715294143934,1222.2865952942514
16007466,16699.072088195324,1221.4905185086875
16007516,16689.937462445225,1219.760070381784
16007566,16687.974584960262,1220.0601024785244
16007616,16687.099467578926,1219.2632246393869
16007666,16677.156500789257,1218.0977211943098
16007716,16671.43142354148,1218.8650554469543
16007766,16670.006612637546,1219.0417769929563
16007816,16667.158521965783,1221.3050767997172
16007866,16690.926988776348,1223.301593448196
16007916,16699.911171428215,1222.9683830938277
16007966,16706.983389283072,1221.7645012063806
16008016,16711.885075631337,1220.3699114555413
16008066,16698.136533040983,1220.0704111531186
16008116,16677.70433821626,1220.185958311146
16008166,16676.42890214988,1219.9176718413412
16008216,16667.825424649327,1218.843328877445
16008266,16663.15327403589,1218.9722318384509
16008316,16654.491715788037,1219.4179603512057
16008366,16649.90611189,1219.794623532718
16008416,16649.289831279402,1219.6628247459664
16008466,16649.311659281368,1219.273949633495
16008516,16649.316796645646,1218.7301610308452
16008566,16649.316796645646,1218.7301610308452
16008616,16649.321410958462,1218.3983760137396
16008666,16649.32197004738,1218.523333469442
16008716,16649.32197004738,1218.523333469442
16008766,16649.322860697295,1217.5777735197585
16008816,16649.323019867094,1219.254420147265
16008866,16649.323019867094,1219.254420147265
16008916,16649.32308014014,1220.012308888625
16008966,16649.32308014014,1220.012308888625
16009016,16649.32309465191,1219.3480537035184
16009066,16646.75252389716,1219.2489357336494
16009116,16646.8591626564,1219.0048156350963
16009166,16646.8591626564,1219.0048156350963
16009216,16647.061772802288,1219.4495466106355
16009266,16647.103717887778,1218.6100720842219
16009316,16647.103717887778,1218.6100720842219
16009366,16633.632645009482,1218.5378944966187
16009416,16632.06940400908,1218.5730993995987
16009466,16631.20549156008,1218.651207048253
16009516,16630.74321047829,1218.9951823749316
16009566,16631.898973303356,1219.4786080708134
16009616,16634.416171783298,1219.6602662377675
16009666,16631.176121519828,1219.7221257786139
16009716,16629.7297907667,1219.9447988243608
16009766,16629.01424717177,1219.2387529065752
16009816,16632.37612226564,1219.4915561958248
16009866,16650.580981374107,1220.126435161185
16009916,16697.071553884783,1221.2913620703218
16009966,16693.961172707164,1221.661575778813
16010016,16693.986395847256,1220.8892102025918
16010066,16680.523805329132,1220.1875686500023
16010116,16677.406051766367,1218.7326447760513
16010166,16670.534583550438,1212.9293540821463
16010216,16633.228196950848,1210.4365678049173
16010266,16610.607013208413,1209.852758904818
16010316,16596.176333669875,1209.9166602128669
16010366,16590.927512298207,1209.7783170495825
16010416,16584.27781554805,1209.6045320261883
16010466,16588.504529321104,1209.4519045206107
16010516,16608.025999962065,1210.1327709442119
16010566,16614.417657723407,1209.3079950620145
16010616,16631.06393501383,1209.9597325096886
16010666,16651.804057157562,1209.818539013863
16010716,16635.704300888454,1207.2729603475093
16010766,16615.927242821137,1202.179546246709
16010816,16621.262336905696,1200.7005996529178
16010866,16605.50331416326,1198.7699013964263
16010916,16588.337232163452,1194.9809671634623
16010966,16566.503379977134,1189.068309185652
16011016,16530.7098465942,1178.1850275209713
16011066,16510.75599249747,1175.3731680004205
16011116,16469.32233266461,1170.3681639593033
16011166,16461.236434848666,1166.912263708024
16011216,16456.642587827355,1165.4324002402527
16011266,16456.642587827355,1165.4324002402527
16011316,16490.09699366676,1169.3250253376489
16011366,16492.554369184058,1169.9357825180218
16011416,16472.623430263455,1168.6598464772196
16011466,16455.84346101608,1169.086580482174
16011516,16471.8099988541,1170.8326581096842
16011566,16474.83163371243,1171.0528060493164
16011616,16472.801133316912,1171.0776996657512
16011666,16469.834721497537,1172.2496798233196
